category,value,totalCharges,divideByTotal,percentCharges
smoker,no,8974061.63,0.505,51
smoker,yes,8781763.56,0.495,49
region_up,North,8379380.57,0.472,47
region_up,South,9376444.62,0.528,53
region,Northeast,4343668.64,0.245,24
region,Northwest,4035711.93,0.227,23
region,Southeast,5363689.8,0.302,30
region,Southwest,4012754.82,0.226,23
gender,Female,8321061.23,0.469,47
gender,Male,9434763.96,0.531,53
children_case,Children,10657755.1,0.6,60
children_case,No children,7098070.09,0.4,40
children,0,7098070.09,0.4,40
children,1,4124899.67,0.232,23
children,2,3617655.36,0.204,20
children,3,2410785.01,0.136,14.000000000000002
children,4,346266.42,0.02,2
children,5,158148.64,0.009,1
age_group,18-29,3829097.21,0.216,22
age_group,30-39,3016867.55,0.17,17
age_group,40-49,4017377.82,0.226,23
age_group,50-59,4470208.1,0.252,25
age_group,60-69,2422274.51,0.136,14.000000000000002
age,18,488949.04,0.028,3
age,19,662857.86,0.037,4
age,20,294631.24,0.017,2
age,21,132453,0.007,1
age,22,280362.12,0.016,2
age,23,347754.97,0.02,2
age,24,298144.44,0.017,2
age,25,275474.22,0.016,2
age,26,171747.12,0.01,1
age,27,341171.64,0.019,2
age,28,253937.25,0.014,1
age,29,281614.31,0.016,2
age,30,343416,0.019,2
age,31,275318.46,0.016,2
age,32,239727.79,0.014,1
age,33,321139.84,0.018,2
age,34,301951.74,0.017,2
age,35,282679.58,0.016,2
age,36,305111.94,0.017,2
age,37,450497.79,0.025,3
age,38,202568.32,0.011,1
age,39,294456.09,0.017,2
age,40,317850.79,0.018,2
age,41,260651.13,0.015,1
age,42,352648.04,0.02,2
age,43,520216.55,0.029,3
age,44,428203.72,0.024,2
age,45,430075.78,0.024,2
age,46,415935.15,0.023,2
age,47,511965.99,0.029,3
age,48,424342.5,0.024,2
age,49,355488.17,0.02,2
age,50,454227.09,0.026,3
age,51,454785.41,0.026,3
age,52,529431.84,0.03,3
age,53,448586.05,0.025,3
age,54,525239.3,0.03,3
age,55,420278.17,0.024,2
age,56,390663.46,0.022,2
age,57,427626.84,0.024,2
age,58,346973.2,0.02,2
age,59,472396.74,0.027,3
age,60,505526.64,0.028,3
age,61,506562.52,0.029,3
age,62,440768.69,0.025,2
age,63,457354.98,0.026,3
age,64,512061.68,0.029,3
